2021-08-20 20:40:50.097 [main] INFO  ir.sharif.aminra.Main - server program started
2021-08-20 20:42:19.931 [Thread-3] INFO  ir.sharif.aminra.database.Connector - instance saved : Chat(id=10, chatName=bot_test, messages=[115, 116, 117, 119, 121, 122, 124, 125, 127, 129, 130, 132, 133, 135, 137, 140], users=[1, 2], isGroup=true)
2021-08-20 20:42:19.932 [Thread-3] INFO  ir.sharif.aminra.database.Connector - transaction committed
2021-08-20 20:42:19.939 [Thread-3] INFO  ir.sharif.aminra.database.Connector - transaction started
2021-08-20 20:42:19.940 [Thread-3] INFO  ir.sharif.aminra.database.Connector - instance saved : Chat(id=11, chatName=, messages=[178, 183, 189, 191, 194, 199, 201, 202, 204, 205, 206, 207, 208, 209], users=[1, 3], isGroup=false)
2021-08-20 20:42:20.701 [Thread-3] INFO  ir.sharif.aminra.database.Connector - transaction committed
2021-08-20 20:42:20.705 [Thread-3] INFO  ir.sharif.aminra.database.Connector - transaction started
2021-08-20 20:42:20.705 [Thread-3] INFO  ir.sharif.aminra.database.Connector - instance saved : Chat(id=12, chatName=, messages=[180, 186, 196, 198, 200, 203], users=[2, 3], isGroup=false)
2021-08-20 20:42:20.814 [Thread-3] INFO  ir.sharif.aminra.database.Connector - transaction committed
2021-08-20 20:42:20.835 [Thread-3] INFO  ir.sharif.aminra.database.Connector - transaction started
2021-08-20 20:42:20.836 [Thread-3] INFO  ir.sharif.aminra.database.Connector - instance saved : User(id=1, firstname=asad, lastname=asaad, username=a, bio=pv = block, birthDate=null, email=a@gmail.com, phoneNumber=912, password=a, publicData=true, isActive=true, lastSeen=2021-08-20T20:23:24.458, lastSeenType= Followings, followings=[2, 3], followers=[], blockList=[], tweets=[1, 2, 3, 4, 5, 6, 7], requestNotifications=[], likedTweets=[], requests=[], notifications=[], isPrivate=false, groups=[1], mutedUsers=[], avatar=8, reportedSpamTweets=[3], chatStates=[1, 51, 53])
2021-08-20 20:42:20.838 [Thread-3] INFO  ir.sharif.aminra.database.Connector - transaction committed
2021-08-20 20:42:20.838 [Thread-3] INFO  ir.sharif.aminra.database.Connector - transaction started
2021-08-20 20:42:20.839 [Thread-3] INFO  ir.sharif.aminra.database.Connector - instance saved : User(id=1, firstname=asad, lastname=asaad, username=a, bio=pv = block, birthDate=null, email=a@gmail.com, phoneNumber=912, password=a, publicData=true, isActive=true, lastSeen=2021-08-20T20:23:24.458, lastSeenType= Followings, followings=[2, 3], followers=[], blockList=[], tweets=[1, 2, 3, 4, 5, 6, 7], requestNotifications=[], likedTweets=[], requests=[], notifications=[], isPrivate=false, groups=[1], mutedUsers=[], avatar=8, reportedSpamTweets=[3], chatStates=[1, 51, 53])
2021-08-20 20:42:20.840 [Thread-3] INFO  ir.sharif.aminra.database.Connector - transaction committed
2021-08-20 20:42:20.841 [Thread-3] INFO  ir.sharif.aminra.database.Connector - transaction started
2021-08-20 20:42:20.841 [Thread-3] INFO  ir.sharif.aminra.database.Connector - instance saved : User(id=1, firstname=asad, lastname=asaad, username=a, bio=pv = block, birthDate=null, email=a@gmail.com, phoneNumber=912, password=a, publicData=true, isActive=true, lastSeen=2021-08-20T20:23:24.458, lastSeenType= Followings, followings=[2, 3], followers=[], blockList=[], tweets=[1, 2, 3, 4, 5, 6, 7], requestNotifications=[], likedTweets=[], requests=[], notifications=[], isPrivate=false, groups=[1], mutedUsers=[], avatar=8, reportedSpamTweets=[3], chatStates=[1, 51, 53])
2021-08-20 20:42:20.843 [Thread-3] INFO  ir.sharif.aminra.database.Connector - transaction committed
2021-08-20 20:42:20.843 [Thread-3] INFO  ir.sharif.aminra.database.Connector - transaction started
2021-08-20 20:42:20.843 [Thread-3] INFO  ir.sharif.aminra.database.Connector - instance saved : User(id=1, firstname=asad, lastname=asaad, username=a, bio=pv = block, birthDate=null, email=a@gmail.com, phoneNumber=912, password=a, publicData=true, isActive=true, lastSeen=2021-08-20T20:23:24.458, lastSeenType= Followings, followings=[2, 3], followers=[], blockList=[], tweets=[1, 2, 3, 4, 5, 6, 7], requestNotifications=[], likedTweets=[], requests=[], notifications=[], isPrivate=false, groups=[1], mutedUsers=[], avatar=8, reportedSpamTweets=[3], chatStates=[1, 51, 53])
2021-08-20 20:42:20.844 [Thread-3] INFO  ir.sharif.aminra.database.Connector - transaction committed
2021-08-20 20:42:20.845 [Thread-3] INFO  ir.sharif.aminra.database.Connector - transaction started
2021-08-20 20:42:20.845 [Thread-3] INFO  ir.sharif.aminra.database.Connector - instance saved : User(id=1, firstname=asad, lastname=asaad, username=a, bio=pv = block, birthDate=null, email=a@gmail.com, phoneNumber=912, password=a, publicData=true, isActive=true, lastSeen=2021-08-20T20:23:24.458, lastSeenType= Followings, followings=[2, 3], followers=[], blockList=[], tweets=[1, 2, 3, 4, 5, 6, 7], requestNotifications=[], likedTweets=[], requests=[], notifications=[], isPrivate=false, groups=[1], mutedUsers=[], avatar=8, reportedSpamTweets=[3], chatStates=[1, 51, 53])
2021-08-20 20:42:20.846 [Thread-3] INFO  ir.sharif.aminra.database.Connector - transaction committed
2021-08-20 20:42:20.850 [Thread-3] INFO  ir.sharif.aminra.database.Connector - transaction started
2021-08-20 20:42:20.851 [Thread-3] INFO  ir.sharif.aminra.database.Connector - instance saved : User(id=1, firstname=asad, lastname=asaad, username=a, bio=pv = block, birthDate=null, email=a@gmail.com, phoneNumber=912, password=a, publicData=true, isActive=true, lastSeen=2021-08-20T20:23:24.458, lastSeenType= Followings, followings=[2, 3], followers=[], blockList=[], tweets=[1, 2, 3, 4, 5, 6, 7], requestNotifications=[], likedTweets=[], requests=[], notifications=[], isPrivate=false, groups=[1], mutedUsers=[], avatar=8, reportedSpamTweets=[3], chatStates=[1, 51, 53])
2021-08-20 20:42:20.852 [Thread-3] INFO  ir.sharif.aminra.database.Connector - transaction committed
2021-08-20 20:42:20.852 [Thread-3] INFO  ir.sharif.aminra.database.Connector - transaction started
2021-08-20 20:42:20.852 [Thread-3] INFO  ir.sharif.aminra.database.Connector - instance saved : User(id=2, firstname=b, lastname=b, username=b, bio=, birthDate=null, email=b@gmail.com, phoneNumber=913, password=b, publicData=true, isActive=true, lastSeen=2021-08-20T20:23:25.867, lastSeenType=Everyone, followings=[3], followers=[1], blockList=[], tweets=[], requestNotifications=[], likedTweets=[], requests=[], notifications=[user a followed you!], isPrivate=false, groups=[], mutedUsers=[], avatar=11, reportedSpamTweets=[], chatStates=[42, 52, 55])
2021-08-20 20:42:20.853 [Thread-3] INFO  ir.sharif.aminra.database.Connector - transaction committed
2021-08-20 20:42:20.853 [Thread-3] INFO  ir.sharif.aminra.database.Connector - transaction started
2021-08-20 20:42:20.854 [Thread-3] INFO  ir.sharif.aminra.database.Connector - instance saved : User(id=2, firstname=b, lastname=b, username=b, bio=, birthDate=null, email=b@gmail.com, phoneNumber=913, password=b, publicData=true, isActive=true, lastSeen=2021-08-20T20:23:25.867, lastSeenType=Everyone, followings=[3], followers=[1], blockList=[], tweets=[], requestNotifications=[], likedTweets=[], requests=[], notifications=[user a followed you!], isPrivate=false, groups=[], mutedUsers=[], avatar=11, reportedSpamTweets=[], chatStates=[42, 52, 55])
2021-08-20 20:42:20.854 [Thread-3] INFO  ir.sharif.aminra.database.Connector - transaction committed
2021-08-20 20:42:20.855 [Thread-3] INFO  ir.sharif.aminra.database.Connector - transaction started
2021-08-20 20:42:20.855 [Thread-3] INFO  ir.sharif.aminra.database.Connector - instance saved : User(id=2, firstname=b, lastname=b, username=b, bio=, birthDate=null, email=b@gmail.com, phoneNumber=913, password=b, publicData=true, isActive=true, lastSeen=2021-08-20T20:23:25.867, lastSeenType=Everyone, followings=[3], followers=[1], blockList=[], tweets=[], requestNotifications=[], likedTweets=[], requests=[], notifications=[user a followed you!], isPrivate=false, groups=[], mutedUsers=[], avatar=11, reportedSpamTweets=[], chatStates=[42, 52, 55])
2021-08-20 20:42:20.856 [Thread-3] INFO  ir.sharif.aminra.database.Connector - transaction committed
2021-08-20 20:42:20.856 [Thread-3] INFO  ir.sharif.aminra.database.Connector - transaction started
2021-08-20 20:42:20.856 [Thread-3] INFO  ir.sharif.aminra.database.Connector - instance saved : User(id=2, firstname=b, lastname=b, username=b, bio=, birthDate=null, email=b@gmail.com, phoneNumber=913, password=b, publicData=true, isActive=true, lastSeen=2021-08-20T20:23:25.867, lastSeenType=Everyone, followings=[3], followers=[1], blockList=[], tweets=[], requestNotifications=[], likedTweets=[], requests=[], notifications=[user a followed you!], isPrivate=false, groups=[], mutedUsers=[], avatar=11, reportedSpamTweets=[], chatStates=[42, 52, 55])
2021-08-20 20:42:20.857 [Thread-3] INFO  ir.sharif.aminra.database.Connector - transaction committed
2021-08-20 20:42:20.859 [Thread-3] INFO  ir.sharif.aminra.database.Connector - transaction started
2021-08-20 20:42:20.859 [Thread-3] INFO  ir.sharif.aminra.database.Connector - instance saved : User(id=2, firstname=b, lastname=b, username=b, bio=, birthDate=null, email=b@gmail.com, phoneNumber=913, password=b, publicData=true, isActive=true, lastSeen=2021-08-20T20:23:25.867, lastSeenType=Everyone, followings=[3], followers=[1], blockList=[], tweets=[], requestNotifications=[], likedTweets=[], requests=[], notifications=[user a followed you!], isPrivate=false, groups=[], mutedUsers=[], avatar=11, reportedSpamTweets=[], chatStates=[42, 52, 55])
2021-08-20 20:42:20.860 [Thread-3] INFO  ir.sharif.aminra.database.Connector - transaction committed
2021-08-20 20:42:20.863 [Thread-3] INFO  ir.sharif.aminra.database.Connector - transaction started
2021-08-20 20:42:20.863 [Thread-3] INFO  ir.sharif.aminra.database.Connector - instance saved : User(id=2, firstname=b, lastname=b, username=b, bio=, birthDate=null, email=b@gmail.com, phoneNumber=913, password=b, publicData=true, isActive=true, lastSeen=2021-08-20T20:23:25.867, lastSeenType=Everyone, followings=[3], followers=[1], blockList=[], tweets=[], requestNotifications=[], likedTweets=[], requests=[], notifications=[user a followed you!], isPrivate=false, groups=[], mutedUsers=[], avatar=11, reportedSpamTweets=[], chatStates=[42, 52, 55])
2021-08-20 20:42:20.864 [Thread-3] INFO  ir.sharif.aminra.database.Connector - transaction committed
2021-08-20 20:42:20.864 [Thread-3] INFO  ir.sharif.aminra.database.Connector - transaction started
2021-08-20 20:42:20.865 [Thread-3] INFO  ir.sharif.aminra.database.Connector - instance saved : User(id=3, firstname=, lastname=, username=XO_bot, bio=, birthDate=null, email=XO@bot.com, phoneNumber=, password=XO_bot, publicData=true, isActive=true, lastSeen=null, lastSeenType=Everyone, followings=[], followers=[1, 2], blockList=[], tweets=[], requestNotifications=[], likedTweets=[], requests=[], notifications=[user a followed you!, user b followed you!], isPrivate=false, groups=[], mutedUsers=[], avatar=1, reportedSpamTweets=[], chatStates=[54, 56])
2021-08-20 20:42:20.865 [Thread-3] INFO  ir.sharif.aminra.database.Connector - transaction committed
2021-08-20 20:42:20.866 [Thread-3] INFO  ir.sharif.aminra.database.Connector - transaction started
2021-08-20 20:42:20.866 [Thread-3] INFO  ir.sharif.aminra.database.Connector - instance saved : User(id=3, firstname=, lastname=, username=XO_bot, bio=, birthDate=null, email=XO@bot.com, phoneNumber=, password=XO_bot, publicData=true, isActive=true, lastSeen=null, lastSeenType=Everyone, followings=[], followers=[1, 2], blockList=[], tweets=[], requestNotifications=[], likedTweets=[], requests=[], notifications=[user a followed you!, user b followed you!], isPrivate=false, groups=[], mutedUsers=[], avatar=1, reportedSpamTweets=[], chatStates=[54, 56])
2021-08-20 20:42:20.866 [Thread-3] INFO  ir.sharif.aminra.database.Connector - transaction committed
2021-08-20 20:42:20.867 [Thread-3] INFO  ir.sharif.aminra.database.Connector - transaction started
2021-08-20 20:42:20.867 [Thread-3] INFO  ir.sharif.aminra.database.Connector - instance saved : User(id=3, firstname=, lastname=, username=XO_bot, bio=, birthDate=null, email=XO@bot.com, phoneNumber=, password=XO_bot, publicData=true, isActive=true, lastSeen=null, lastSeenType=Everyone, followings=[], followers=[1, 2], blockList=[], tweets=[], requestNotifications=[], likedTweets=[], requests=[], notifications=[user a followed you!, user b followed you!], isPrivate=false, groups=[], mutedUsers=[], avatar=1, reportedSpamTweets=[], chatStates=[54, 56])
2021-08-20 20:42:20.868 [Thread-3] INFO  ir.sharif.aminra.database.Connector - transaction committed
2021-08-20 20:42:20.868 [Thread-3] INFO  ir.sharif.aminra.database.Connector - transaction started
2021-08-20 20:42:20.868 [Thread-3] INFO  ir.sharif.aminra.database.Connector - instance saved : User(id=3, firstname=, lastname=, username=XO_bot, bio=, birthDate=null, email=XO@bot.com, phoneNumber=, password=XO_bot, publicData=true, isActive=true, lastSeen=null, lastSeenType=Everyone, followings=[], followers=[1, 2], blockList=[], tweets=[], requestNotifications=[], likedTweets=[], requests=[], notifications=[user a followed you!, user b followed you!], isPrivate=false, groups=[], mutedUsers=[], avatar=1, reportedSpamTweets=[], chatStates=[54, 56])
2021-08-20 20:42:20.869 [Thread-3] INFO  ir.sharif.aminra.database.Connector - transaction committed
2021-08-20 20:42:20.873 [Thread-3] INFO  ir.sharif.aminra.database.Connector - transaction started
2021-08-20 20:42:20.873 [Thread-3] INFO  ir.sharif.aminra.database.Connector - instance saved : User(id=3, firstname=, lastname=, username=XO_bot, bio=, birthDate=null, email=XO@bot.com, phoneNumber=, password=XO_bot, publicData=true, isActive=true, lastSeen=null, lastSeenType=Everyone, followings=[], followers=[1, 2], blockList=[], tweets=[], requestNotifications=[], likedTweets=[], requests=[], notifications=[user a followed you!, user b followed you!], isPrivate=false, groups=[], mutedUsers=[], avatar=1, reportedSpamTweets=[], chatStates=[54, 56])
2021-08-20 20:42:20.874 [Thread-3] INFO  ir.sharif.aminra.database.Connector - transaction committed
2021-08-20 20:42:20.874 [Thread-3] INFO  ir.sharif.aminra.database.Connector - transaction started
2021-08-20 20:42:20.875 [Thread-3] INFO  ir.sharif.aminra.database.Connector - instance saved : User(id=3, firstname=, lastname=, username=XO_bot, bio=, birthDate=null, email=XO@bot.com, phoneNumber=, password=XO_bot, publicData=true, isActive=true, lastSeen=null, lastSeenType=Everyone, followings=[], followers=[1, 2], blockList=[], tweets=[], requestNotifications=[], likedTweets=[], requests=[], notifications=[user a followed you!, user b followed you!], isPrivate=false, groups=[], mutedUsers=[], avatar=1, reportedSpamTweets=[], chatStates=[54, 56])
2021-08-20 20:42:20.875 [Thread-3] INFO  ir.sharif.aminra.database.Connector - transaction committed
2021-08-20 20:42:20.876 [Thread-3] INFO  ir.sharif.aminra.database.Connector - transaction started
2021-08-20 20:42:20.879 [Thread-3] INFO  ir.sharif.aminra.database.Connector - instance deleted : User(id=4, firstname=, lastname=, username=vote_bot, bio=, birthDate=null, email=vote@bot.com, phoneNumber=, password=vote_bot, publicData=true, isActive=true, lastSeen=null, lastSeenType=Everyone, followings=[], followers=[], blockList=[], tweets=[], requestNotifications=[], likedTweets=[], requests=[], notifications=[], isPrivate=false, groups=[], mutedUsers=[], avatar=1, reportedSpamTweets=[], chatStates=[])
2021-08-20 20:42:20.993 [Thread-3] INFO  ir.sharif.aminra.database.Connector - transaction committed
2021-08-20 20:42:20.994 [Thread-3] INFO  ir.sharif.aminra.controller.settingsPage.SettingsController - user vote_bot deleted his/her account.
